Megatrend,Area,Firm,Short Description,Keywords,Role of Utility,Website,Twitter Handle,Country,Language,Year Founded,Funding Status,Total Funding Amount (National Currency),Currency,Total Funding Amount (USD),IPO Date,,,,,,,,,,
Other,Energy Storage Systems,ITOCHU (storage systems),Japanese conglomerate providing battery systems and storage via Moixa partnership,"Smart Storage, Energy Trading",Supplier,itochu.co.jp,@ItochuCorp,Japan,English,1858,Public (TYO: 8001),¥13.4T revenue,USD,87100000000,,,,,,,,,,,
Electrification,Comfort,Baxi Heating UK,"Similar to a mobile phone-style contract, the Heat Plan bundled together physical device – in this case a replacement heating system rather than a smart phone – with servicing, maintenance and the energy needed to be comfortable. This is just like a mobile phone bundled with calls, texts and internet data into a single service for a fixed monthly price.","Comfort market, energy services",,https://www.baxiheating.co.uk/,,United Kingdom,English,1866,,,USD,,,,,,,,,,,,
Other,Battery Recycling,Umicore,Global materials tech company with major operations in battery recycling and cathodes,"Critical Materials, Circular Batteries",Supplier,umicore.com,@UmicoreGroup,Belgium,English,1906,Public (EBR: UMI),€15B+ market cap,USD,16875000000,,,,,,,,,,,
Other,Lighting Solutions,Aura Light,Provides sustainable and energy-efficient lighting solutions for professional environments. | Aura Light,Sustainable Lighting,,auralight.com,,Sweden,English,1930,Private,,USD,,,,,,,,,,,,
Other,Energy Storage,Cegasa Energía,Develops industrial-scale energy storage systems using zinc-air batteries,"Zinc-Air Batteries, Storage",,cegasa.com,,Spain,Spanish,1934,Private,,USD,,,,,,,,,,,,
Other,Sustainable Design,ZGF Architects,"Integrates sustainable architecture, net-zero buildings, and climate resilience","Green Buildings, Architecture",,zgf.com,,United States of America,English,1942,Private,,USD,,,,,,,,,,,,
Decarbonization,Equipment,Haji Husein Alireza & Co.,"A company that offers electrical products and solutions for residential, commercial, and industrial customers, including lighting, automation, and renewable energy systems.",,,,,Saudi Arabia,English,1945,,,USD,,,,,,,,,,,,
Other,Grid Components,Hyosung Heavy Industries,Develops high-voltage grid equipment and hydrogen fueling infrastructure,"Grid Infrastructure, Hydrogen",Supplier,hyosungheavyindustries.com,,South Korea,English,1962,Public (KRX),₩1.8T revenue,USD,1332000000,,,,,,,,,,,
Decarbonization,Equipment,Alfanar,"A company that develops and manufactures electrical products and solutions, including switchgear, transformers, and renewable energy systems.",,,,,Saudi Arabia,English,1976,,,USD,,,,,,,,,,,,
Decarbonization,Equipment,Rawabi Electric,"A company that provides electrical contracting services, including design, installation, and maintenance of electrical systems.",,,,@Rawabi_Electric,Saudi Arabia,English,1982,,,USD,,,,,,,,,,,,
Other,Low-Carbon Cement,UltraTech Cement (CCUS),India’s largest cement company investing in carbon capture for decarbonization,"Industrial CO₂ Capture, Green Cement",Supplier,ultratechcement.com,,India,English,1983,Public (NSE: ULTRACEMCO),₹2.2T+ market cap,USD,25960000000,,,,,,,,,,,
Other,Waste-to-Energy,Covanta,"Provides large-scale waste-to-energy solutions, diverting waste from landfills","Waste-to-Energy, Incineration",Supplier,covanta.com,@Covanta,United States of America,English,1986,Acquired (EQ),,USD,,,,,,,,,,,,
Other,Battery Technology,Kokam,South Korean battery manufacturer specializing in Li-ion for aerospace and grids,"Lithium-Ion, Grid Storage",Supplier,kokam.com,,South Korea,English,1989,Acquired (by SolarEdge),,USD,,,,,,,,,,,,
Digitalization,Data,Intertrust,"Software that allows energy companies to securely exchange energy data that is spread across multiple platforms and technologies, internally and externally and manage the data security of heterogenious energy IoT devices. This solves a wealth of energy-related problems around AI-based decarbonization strategies (time to AI), energy system resilience and flexibility, energy data security, carbon and impact tracking, energy, mobility and heating transition, and many more. We have the first use cases and implementations up-and-running in renewables, distribution grids, electric vehicle infrastructure management, and are expanding into securing virtual power plants, thermal generation, fuel supply chains, sustainability data and many more areas right now.",,,https://www.intertrust.com/solutions/energy-and-utilities/,@IntertrustTech,United States of America,English,1990,,,USD,,,,,,,,,,,,
Other,E-Mobility,Solaris Bus & Coach,Produces electric and hydrogen-powered public transport buses,"eBuses, Public Transport, Hydrogen",Supplier,solarisbus.com,@SolarisBus,Poland,English,1996,Acquired (CAF),,USD,,,,,,,,,,,,
Other,Algae Biofuel,Necton,"Produces microalgae for aquaculture, cosmetics, and biomass energy","Algae, Biofuel, Aquaculture",,necton.pt,,Portugal,English,1997,Private,,USD,,,,,,,,,,,,
Electrification,EV,Jingjin Electric Technologies Company,"electric motors, power electronics, transmissions, software and integrated electric drive (3-in-1) systems",,,,,China,Chinese,1998,,,USD,,,,,,,,,,,,
Other,Fusion Energy,TAE Technologies,Develops aneutronic fusion reactors using beam-driven plasma heating,"Fusion, Clean Energy, Nuclear Tech",,tae.com,@TAE_Technologies,United States of America,English,1998,Private,$1.2B+,USD,1200000000,,,,,,,,,,,
Other,Bio-Industrial,Metabolic Explorer,Produces bio-based chemical intermediates as alternatives to petrochemicals,"Biochemicals, Circular Industry",,metabolic-explorer.fr,,France,English,1999,Public (Euronext),€75M+,USD,84375000,,,,,,,,,,,
Decarbonization,Energy efficiency,Origin Energy,"integrated energy management service, energy diagnosis, energy retrofit",,,https://www.origin-se.com/,,Australia,Chinese,2000,,,USD,,,,,,,,,,,,
